Time,CPU Freq,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Thu Mar 05 12:28:22 EST 2015,24000,0.0,573583360,2099159040,1525575680
Thu Mar 05 12:28:25 EST 2015,24000,0.4962802,573583360,2099159040,1525575680
Thu Mar 05 12:28:27 EST 2015,24000,2.233249,569835520,2099159040,1529323520
Thu Mar 05 12:28:29 EST 2015,24000,0.4987538,569835520,2099159040,1529323520
Thu Mar 05 12:28:31 EST 2015,24000,0.7499993,569835520,2099159040,1529323520
Thu Mar 05 12:28:33 EST 2015,24000,0.5012512,569233408,2099159040,1529925632
Thu Mar 05 12:28:35 EST 2015,24000,0.4987538,560844800,2099159040,1538314240
Thu Mar 05 12:28:37 EST 2015,24000,0.24999976,560844800,2099159040,1538314240
Thu Mar 05 12:28:39 EST 2015,24000,0.49999952,560115712,2099159040,1539043328
Thu Mar 05 12:28:41 EST 2015,24000,0.0,558018560,2099159040,1541140480
Thu Mar 05 12:28:43 EST 2015,24000,0.74626803,558493696,2099159040,1540665344
Thu Mar 05 12:28:45 EST 2015,24000,0.24999976,556199936,2099159040,1542959104
Thu Mar 05 12:28:47 EST 2015,24000,0.49999952,555601920,2099159040,1543557120
Thu Mar 05 12:28:49 EST 2015,24000,0.24999976,556109824,2099159040,1543049216
Thu Mar 05 12:28:51 EST 2015,24000,0.0,556142592,2099159040,1543016448
Thu Mar 05 12:28:53 EST 2015,24000,0.24999976,556142592,2099159040,1543016448
Thu Mar 05 12:28:55 EST 2015,24000,1.4999986,555667456,2099159040,1543491584
Thu Mar 05 12:28:57 EST 2015,24000,1.2468815,553316352,2099159040,1545842688
Thu Mar 05 12:28:59 EST 2015,24000,0.0,553570304,2099159040,1545588736
Thu Mar 05 12:29:01 EST 2015,24000,0.24999976,553570304,2099159040,1545588736
Thu Mar 05 12:29:03 EST 2015,24000,0.4962802,553443328,2099159040,1545715712
Thu Mar 05 12:29:05 EST 2015,24000,0.24999976,553443328,2099159040,1545715712
Thu Mar 05 12:29:07 EST 2015,24000,0.24999976,553443328,2099159040,1545715712
Thu Mar 05 12:29:09 EST 2015,24000,0.24937391,553660416,2099159040,1545498624
Thu Mar 05 12:29:11 EST 2015,24000,0.7481277,553697280,2099159040,1545461760
Thu Mar 05 12:29:13 EST 2015,24000,0.497514,551473152,2099159040,1547685888
Thu Mar 05 12:29:15 EST 2015,24000,0.49999952,551219200,2099159040,1547939840
Thu Mar 05 12:29:17 EST 2015,24000,0.24999976,551219200,2099159040,1547939840
Thu Mar 05 12:29:19 EST 2015,24000,0.497514,551219200,2099159040,1547939840
Thu Mar 05 12:29:21 EST 2015,24000,0.24999976,551219200,2099159040,1547939840
Thu Mar 05 12:29:23 EST 2015,24000,0.0,551219200,2099159040,1547939840
Thu Mar 05 12:29:25 EST 2015,24000,0.24999976,547532800,2099159040,1551626240
Thu Mar 05 12:29:27 EST 2015,24000,0.0,547532800,2099159040,1551626240
Thu Mar 05 12:29:29 EST 2015,24000,0.2506256,547405824,2099159040,1551753216
Thu Mar 05 12:29:31 EST 2015,24000,0.24937391,547405824,2099159040,1551753216
Thu Mar 05 12:29:33 EST 2015,24000,0.24937391,547438592,2099159040,1551720448
Thu Mar 05 12:29:35 EST 2015,24000,0.24999976,547438592,2099159040,1551720448
Thu Mar 05 12:29:37 EST 2015,24000,0.24937391,547438592,2099159040,1551720448
Thu Mar 05 12:29:39 EST 2015,24000,0.0,547438592,2099159040,1551720448
Thu Mar 05 12:29:41 EST 2015,24000,0.24999976,547438592,2099159040,1551720448
Thu Mar 05 12:29:43 EST 2015,24000,0.24937391,547438592,2099159040,1551720448
Thu Mar 05 12:29:45 EST 2015,24000,0.0,547438592,2099159040,1551720448
Thu Mar 05 12:29:47 EST 2015,24000,0.0,547438592,2099159040,1551720448
Thu Mar 05 12:29:49 EST 2015,24000,0.0,547438592,2099159040,1551720448
Thu Mar 05 12:29:51 EST 2015,24000,0.4987538,547438592,2099159040,1551720448
Thu Mar 05 12:29:53 EST 2015,24000,0.0,547438592,2099159040,1551720448
Thu Mar 05 12:29:55 EST 2015,24000,0.24999976,547438592,2099159040,1551720448
