Time,CPU Freq,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Thu Mar 05 13:29:24 EST 2015,24000,0.0,573628416,2099159040,1525530624
Thu Mar 05 13:29:26 EST 2015,24000,1.243782,571883520,2099159040,1527275520
Thu Mar 05 13:29:28 EST 2015,24000,5.0125303,569626624,2099159040,1529532416
Thu Mar 05 13:29:30 EST 2015,24000,0.24999976,569626624,2099159040,1529532416
Thu Mar 05 13:29:32 EST 2015,24000,0.497514,567529472,2099159040,1531629568
Thu Mar 05 13:29:34 EST 2015,24000,3.4912705,566607872,2099159040,1532551168
Thu Mar 05 13:29:36 EST 2015,24000,1.2499988,558252032,2099159040,1540907008
Thu Mar 05 13:29:38 EST 2015,24000,0.0,558252032,2099159040,1540907008
Thu Mar 05 13:29:40 EST 2015,24000,3.0075192,556568576,2099159040,1542590464
Thu Mar 05 13:29:42 EST 2015,24000,0.5012512,555536384,2099159040,1543622656
Thu Mar 05 13:29:44 EST 2015,24000,0.74626803,555536384,2099159040,1543622656
Thu Mar 05 13:29:46 EST 2015,24000,2.5188923,551882752,2099159040,1547276288
Thu Mar 05 13:29:48 EST 2015,24000,0.7481277,551755776,2099159040,1547403264
Thu Mar 05 13:29:50 EST 2015,24000,0.7499993,549617664,2099159040,1549541376
Thu Mar 05 13:29:52 EST 2015,24000,1.7499983,550981632,2099159040,1548177408
Thu Mar 05 13:29:54 EST 2015,24000,0.24999976,551010304,2099159040,1548148736
Thu Mar 05 13:29:56 EST 2015,24000,1.4962614,550756352,2099159040,1548402688
Thu Mar 05 13:29:58 EST 2015,24000,3.0075192,550309888,2099159040,1548849152
Thu Mar 05 13:30:00 EST 2015,24000,0.0,550309888,2099159040,1548849152
Thu Mar 05 13:30:02 EST 2015,24000,0.49999952,550309888,2099159040,1548849152
Thu Mar 05 13:30:04 EST 2015,24000,1.7456353,548212736,2099159040,1550946304
Thu Mar 05 13:30:06 EST 2015,24000,0.74626803,548212736,2099159040,1550946304
Thu Mar 05 13:30:08 EST 2015,24000,1.253134,548085760,2099159040,1551073280
