Time,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Thu Mar 19 19:12:52 GMT 2015,0.0,536240128,8589934592,8053694464
Thu Mar 19 19:12:54 GMT 2015,41.14713,465915904,8589934592,8124018688
Thu Mar 19 19:12:56 GMT 2015,9.689438,478060544,8589934592,8111874048
Thu Mar 19 19:12:58 GMT 2015,21.809174,467316736,8589934592,8122617856
Thu Mar 19 19:13:00 GMT 2015,12.234706,466432000,8589934592,8123502592
Thu Mar 19 19:13:02 GMT 2015,11.771995,465956864,8589934592,8123977728
Thu Mar 19 19:13:04 GMT 2015,11.386138,473919488,8589934592,8116015104
Thu Mar 19 19:13:06 GMT 2015,29.177057,472297472,8589934592,8117637120
Thu Mar 19 19:13:08 GMT 2015,14.88834,469532672,8589934592,8120401920
Thu Mar 19 19:13:10 GMT 2015,4.862845,469934080,8589934592,8120000512
Thu Mar 19 19:13:12 GMT 2015,3.9653063,470175744,8589934592,8119758848
Thu Mar 19 19:13:14 GMT 2015,12.204236,469770240,8589934592,8120164352
Thu Mar 19 19:13:16 GMT 2015,15.068495,469667840,8589934592,8120266752
Thu Mar 19 19:13:18 GMT 2015,4.5962753,469471232,8589934592,8120463360
Thu Mar 19 19:13:20 GMT 2015,3.2338321,469716992,8589934592,8120217600
Thu Mar 19 19:13:22 GMT 2015,5.0995054,469245952,8589934592,8120688640
Thu Mar 19 19:13:24 GMT 2015,3.4739435,469573632,8589934592,8120360960
Thu Mar 19 19:13:26 GMT 2015,4.228854,469929984,8589934592,8120004608
Thu Mar 19 19:13:28 GMT 2015,3.8461566,469245952,8589934592,8120688640
Thu Mar 19 19:13:30 GMT 2015,3.6069632,468381696,8589934592,8121552896
Thu Mar 19 19:13:32 GMT 2015,3.3623934,468697088,8589934592,8121237504
Thu Mar 19 19:13:34 GMT 2015,4.089218,468881408,8589934592,8121053184
Thu Mar 19 19:13:36 GMT 2015,3.8557231,467288064,8589934592,8122646528
Thu Mar 19 19:13:38 GMT 2015,3.9702237,466518016,8589934592,8123416576
Thu Mar 19 19:13:40 GMT 2015,3.7220836,466776064,8589934592,8123158528
Thu Mar 19 19:13:42 GMT 2015,3.7313461,466993152,8589934592,8122941440
Thu Mar 19 19:13:44 GMT 2015,5.112219,467292160,8589934592,8122642432
Thu Mar 19 19:13:46 GMT 2015,8.787131,465965056,8589934592,8123969536
Thu Mar 19 19:13:48 GMT 2015,8.706469,458145792,8589934592,8131788800
Thu Mar 19 19:13:50 GMT 2015,6.9651723,457445376,8589934592,8132489216
Thu Mar 19 19:13:52 GMT 2015,8.208954,457076736,8589934592,8132857856
Thu Mar 19 19:13:54 GMT 2015,16.27329,453963776,8589934592,8135970816
Thu Mar 19 19:13:56 GMT 2015,12.546581,454455296,8589934592,8135479296
Thu Mar 19 19:13:58 GMT 2015,16.625309,454656000,8589934592,8135278592
Thu Mar 19 19:14:00 GMT 2015,11.428571,456646656,8589934592,8133287936
Thu Mar 19 19:14:02 GMT 2015,9.464508,456990720,8589934592,8132943872
Thu Mar 19 19:14:04 GMT 2015,9.440994,457351168,8589934592,8132583424
Thu Mar 19 19:14:06 GMT 2015,14.427858,458809344,8589934592,8131125248
Thu Mar 19 19:14:08 GMT 2015,8.436728,458711040,8589934592,8131223552
Thu Mar 19 19:14:10 GMT 2015,11.442786,459501568,8589934592,8130433024
Thu Mar 19 19:14:12 GMT 2015,15.508688,458891264,8589934592,8131043328
Thu Mar 19 19:14:14 GMT 2015,14.88834,459436032,8589934592,8130498560
Thu Mar 19 19:14:16 GMT 2015,12.577831,457003008,8589934592,8132931584
