Time,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Thu Mar 19 19:30:15 GMT 2015,0.0,520658944,8589934592,8069275648
Thu Mar 19 19:30:17 GMT 2015,59.425716,415158272,8589934592,8174776320
Thu Mar 19 19:30:19 GMT 2015,12.422359,403173376,8589934592,8186761216
Thu Mar 19 19:30:21 GMT 2015,8.830845,403619840,8589934592,8186314752
Thu Mar 19 19:30:23 GMT 2015,13.291925,411496448,8589934592,8178438144
Thu Mar 19 19:30:25 GMT 2015,11.442786,410562560,8589934592,8179372032
Thu Mar 19 19:30:27 GMT 2015,8.198756,410017792,8589934592,8179916800
Thu Mar 19 19:30:29 GMT 2015,8.188587,410497024,8589934592,8179437568
Thu Mar 19 19:30:31 GMT 2015,8.9441,409018368,8589934592,8180916224
Thu Mar 19 19:30:33 GMT 2015,6.3275456,409411584,8589934592,8180523008
Thu Mar 19 19:30:35 GMT 2015,7.4719787,410304512,8589934592,8179630080
Thu Mar 19 19:30:37 GMT 2015,7.5776396,410832896,8589934592,8179101696
Thu Mar 19 19:30:39 GMT 2015,6.0869575,411348992,8589934592,8178585600
Thu Mar 19 19:30:41 GMT 2015,6.57568,411652096,8589934592,8178282496
Thu Mar 19 19:30:43 GMT 2015,5.962735,412098560,8589934592,8177836032
Thu Mar 19 19:30:45 GMT 2015,6.625003,411340800,8589934592,8178593792
Thu Mar 19 19:30:47 GMT 2015,6.0718718,410640384,8589934592,8179294208
Thu Mar 19 19:30:49 GMT 2015,5.962735,411033600,8589934592,8178900992
Thu Mar 19 19:30:51 GMT 2015,4.4776144,411234304,8589934592,8178700288
Thu Mar 19 19:30:53 GMT 2015,7.07196,411738112,8589934592,8178196480
Thu Mar 19 19:30:55 GMT 2015,7.6827765,412254208,8589934592,8177680384
Thu Mar 19 19:30:57 GMT 2015,7.107234,411594752,8589934592,8178339840
Thu Mar 19 19:30:59 GMT 2015,9.813666,411492352,8589934592,8178442240
Thu Mar 19 19:31:01 GMT 2015,4.472047,411910144,8589934592,8178024448
Thu Mar 19 19:31:03 GMT 2015,3.7174702,411164672,8589934592,8178769920
Thu Mar 19 19:31:05 GMT 2015,3.3665836,411492352,8589934592,8178442240
Thu Mar 19 19:31:07 GMT 2015,5.445546,408641536,8589934592,8181293056
Thu Mar 19 19:31:09 GMT 2015,5.472636,408940544,8589934592,8180994048
Thu Mar 19 19:31:11 GMT 2015,7.56824,378138624,8589934592,8211795968
Thu Mar 19 19:31:13 GMT 2015,11.083436,378667008,8589934592,8211267584
Thu Mar 19 19:31:15 GMT 2015,3.975153,379097088,8589934592,8210837504
Thu Mar 19 19:31:17 GMT 2015,4.838711,380694528,8589934592,8209240064
Thu Mar 19 19:31:19 GMT 2015,8.808935,381140992,8589934592,8208793600
Thu Mar 19 19:31:21 GMT 2015,8.728182,380821504,8589934592,8209113088
Thu Mar 19 19:31:23 GMT 2015,7.9503117,383819776,8589934592,8206114816
Thu Mar 19 19:31:25 GMT 2015,9.305209,384167936,8589934592,8205766656
Thu Mar 19 19:31:27 GMT 2015,11.06965,382881792,8589934592,8207052800
Thu Mar 19 19:31:29 GMT 2015,13.399506,384081920,8589934592,8205852672
Thu Mar 19 19:31:31 GMT 2015,5.3416133,384479232,8589934592,8205455360
Thu Mar 19 19:31:33 GMT 2015,6.0945272,384749568,8589934592,8205185024
Thu Mar 19 19:31:35 GMT 2015,18.781096,381939712,8589934592,8207994880
Thu Mar 19 19:31:37 GMT 2015,5.354917,382283776,8589934592,8207650816
Thu Mar 19 19:31:39 GMT 2015,10.931677,381751296,8589934592,8208183296
Thu Mar 19 19:31:41 GMT 2015,23.975159,383275008,8589934592,8206659584
Thu Mar 19 19:31:43 GMT 2015,5.590063,383713280,8589934592,8206221312
Thu Mar 19 19:31:45 GMT 2015,9.102243,384425984,8589934592,8205508608
Thu Mar 19 19:31:47 GMT 2015,13.771713,383057920,8589934592,8206876672
Thu Mar 19 19:31:49 GMT 2015,18.012423,382775296,8589934592,8207159296
Thu Mar 19 19:31:51 GMT 2015,7.054454,383139840,8589934592,8206794752
Thu Mar 19 19:31:53 GMT 2015,12.34414,382517248,8589934592,8207417344
Thu Mar 19 19:31:55 GMT 2015,12.391573,383205376,8589934592,8206729216
Thu Mar 19 19:31:57 GMT 2015,13.291925,382820352,8589934592,8207114240
Thu Mar 19 19:31:59 GMT 2015,22.084368,377442304,8589934592,8212492288
Thu Mar 19 19:32:01 GMT 2015,19.527363,381886464,8589934592,8208048128
Thu Mar 19 19:32:03 GMT 2015,15.985131,380579840,8589934592,8209354752
Thu Mar 19 19:32:05 GMT 2015,9.589041,381214720,8589934592,8208719872
Thu Mar 19 19:32:07 GMT 2015,9.102243,381759488,8589934592,8208175104
Thu Mar 19 19:32:09 GMT 2015,15.403729,378658816,8589934592,8211275776
Thu Mar 19 19:32:11 GMT 2015,12.313432,379355136,8589934592,8210579456
Thu Mar 19 19:32:13 GMT 2015,8.064514,379768832,8589934592,8210165760
Thu Mar 19 19:32:15 GMT 2015,14.054728,378556416,8589934592,8211378176
Thu Mar 19 19:32:17 GMT 2015,6.5675316,377946112,8589934592,8211988480
Thu Mar 19 19:32:19 GMT 2015,5.962735,378658816,8589934592,8211275776
Thu Mar 19 19:32:21 GMT 2015,18.034828,378298368,8589934592,8211636224
Thu Mar 19 19:32:23 GMT 2015,21.437424,376184832,8589934592,8213749760
Thu Mar 19 19:32:25 GMT 2015,5.6109724,376614912,8589934592,8213319680
Thu Mar 19 19:32:27 GMT 2015,9.900988,376229888,8589934592,8213704704
Thu Mar 19 19:32:29 GMT 2015,8.592778,375562240,8589934592,8214372352
Thu Mar 19 19:32:31 GMT 2015,9.203982,376303616,8589934592,8213630976
Thu Mar 19 19:32:33 GMT 2015,12.639403,374894592,8589934592,8215040000
Thu Mar 19 19:32:35 GMT 2015,9.203982,374300672,8589934592,8215633920
Thu Mar 19 19:32:37 GMT 2015,10.585308,372154368,8589934592,8217780224
Thu Mar 19 19:32:39 GMT 2015,3.4869254,372551680,8589934592,8217382912
Thu Mar 19 19:32:41 GMT 2015,16.397518,373080064,8589934592,8216854528
Thu Mar 19 19:32:43 GMT 2015,13.749999,372408320,8589934592,8217526272
Thu Mar 19 19:32:45 GMT 2015,4.968941,371724288,8589934592,8218210304
Thu Mar 19 19:32:48 GMT 2015,32.754345,372256768,8589934592,8217677824
Thu Mar 19 19:32:50 GMT 2015,21.419674,405061632,8589934592,8184872960
Thu Mar 19 19:32:52 GMT 2015,11.786598,400633856,8589934592,8189300736
Thu Mar 19 19:32:54 GMT 2015,11.055899,400547840,8589934592,8189386752
Thu Mar 19 19:32:56 GMT 2015,12.1890545,400900096,8589934592,8189034496
Thu Mar 19 19:32:58 GMT 2015,23.975159,402501632,8589934592,8187432960
Thu Mar 19 19:33:00 GMT 2015,18.23821,404021248,8589934592,8185913344
Thu Mar 19 19:33:02 GMT 2015,19.651741,403865600,8589934592,8186068992
Thu Mar 19 19:33:04 GMT 2015,11.955166,402259968,8589934592,8187674624
Thu Mar 19 19:33:06 GMT 2015,16.232962,389369856,8589934592,8200564736
Thu Mar 19 19:33:08 GMT 2015,15.106117,403742720,8589934592,8186191872
Thu Mar 19 19:33:10 GMT 2015,11.138612,402378752,8589934592,8187555840
Thu Mar 19 19:33:12 GMT 2015,9.440994,402886656,8589934592,8187047936
Thu Mar 19 19:33:14 GMT 2015,12.328768,402776064,8589934592,8187158528
Thu Mar 19 19:33:16 GMT 2015,8.86392,402350080,8589934592,8187584512
