Time,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Thu Mar 19 19:28:43 GMT 2015,0.0,546754560,8589934592,8043180032
Thu Mar 19 19:28:45 GMT 2015,40.324593,454496256,8589934592,8135438336
Thu Mar 19 19:28:47 GMT 2015,16.27329,442638336,8589934592,8147296256
Thu Mar 19 19:28:49 GMT 2015,11.955166,441397248,8589934592,8148537344
Thu Mar 19 19:28:51 GMT 2015,15.776396,451207168,8589934592,8138727424
Thu Mar 19 19:28:53 GMT 2015,11.801243,451551232,8589934592,8138383360
Thu Mar 19 19:28:55 GMT 2015,7.855362,442232832,8589934592,8147701760
Thu Mar 19 19:28:57 GMT 2015,22.319204,432984064,8589934592,8156950528
Thu Mar 19 19:28:59 GMT 2015,18.136644,431374336,8589934592,8158560256
Thu Mar 19 19:29:01 GMT 2015,6.8322954,431779840,8589934592,8158154752
Thu Mar 19 19:29:03 GMT 2015,7.0807457,431120384,8589934592,8158814208
Thu Mar 19 19:29:05 GMT 2015,7.098383,431837184,8589934592,8158097408
Thu Mar 19 19:29:07 GMT 2015,6.3432813,432209920,8589934592,8157724672
Thu Mar 19 19:29:09 GMT 2015,9.689438,431132672,8589934592,8158801920
Thu Mar 19 19:29:11 GMT 2015,8.684862,432726016,8589934592,8157208576
Thu Mar 19 19:29:13 GMT 2015,11.428571,433270784,8589934592,8156663808
Thu Mar 19 19:29:15 GMT 2015,10.074627,431575040,8589934592,8158359552
Thu Mar 19 19:29:17 GMT 2015,8.955222,430993408,8589934592,8158941184
Thu Mar 19 19:29:19 GMT 2015,11.801243,430624768,8589934592,8159309824
Thu Mar 19 19:29:21 GMT 2015,10.447759,430268416,8589934592,8159666176
Thu Mar 19 19:29:23 GMT 2015,8.9441,432865280,8589934592,8157069312
Thu Mar 19 19:29:25 GMT 2015,7.0807457,433258496,8589934592,8156676096
Thu Mar 19 19:29:27 GMT 2015,4.9813213,432549888,8589934592,8157384704
Thu Mar 19 19:29:29 GMT 2015,3.726709,431828992,8589934592,8158105600
Thu Mar 19 19:29:31 GMT 2015,4.099381,432467968,8589934592,8157466624
Thu Mar 19 19:29:33 GMT 2015,8.064514,430796800,8589934592,8159137792
Thu Mar 19 19:29:35 GMT 2015,5.853051,431157248,8589934592,8158777344
Thu Mar 19 19:29:37 GMT 2015,9.689438,429756416,8589934592,8160178176
Thu Mar 19 19:29:39 GMT 2015,46.38404,424677376,8589934592,8165257216
Thu Mar 19 19:29:41 GMT 2015,26.558601,425566208,8589934592,8164368384
Thu Mar 19 19:29:44 GMT 2015,9.689438,426266624,8589934592,8163667968
Thu Mar 19 19:29:46 GMT 2015,9.440994,426872832,8589934592,8163061760
Thu Mar 19 19:29:48 GMT 2015,13.466334,427454464,8589934592,8162480128
Thu Mar 19 19:29:50 GMT 2015,6.4516125,426442752,8589934592,8163491840
Thu Mar 19 19:29:52 GMT 2015,10.572142,426979328,8589934592,8162955264
Thu Mar 19 19:29:54 GMT 2015,16.52174,426381312,8589934592,8163553280
Thu Mar 19 19:29:56 GMT 2015,16.253101,425598976,8589934592,8164335616
Thu Mar 19 19:29:58 GMT 2015,18.929016,425717760,8589934592,8164216832
Thu Mar 19 19:30:00 GMT 2015,16.149067,424677376,8589934592,8165257216
Thu Mar 19 19:30:02 GMT 2015,13.341647,425091072,8589934592,8164843520
Thu Mar 19 19:30:04 GMT 2015,5.112219,425402368,8589934592,8164532224
Thu Mar 19 19:30:06 GMT 2015,18.858559,425152512,8589934592,8164782080
Thu Mar 19 19:30:08 GMT 2015,11.677021,424448000,8589934592,8165486592
Thu Mar 19 19:30:10 GMT 2015,9.553349,423788544,8589934592,8166146048
