Time,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Thu Mar 19 19:11:37 GMT 2015,0.0,409776128,8589934592,8180158464
Thu Mar 19 19:11:39 GMT 2015,52.446674,459128832,8589934592,8130805760
Thu Mar 19 19:11:41 GMT 2015,21.21588,446636032,8589934592,8143298560
Thu Mar 19 19:11:43 GMT 2015,11.152416,445755392,8589934592,8144179200
Thu Mar 19 19:11:45 GMT 2015,11.58157,453206016,8589934592,8136728576
Thu Mar 19 19:11:47 GMT 2015,6.4676642,454098944,8589934592,8135835648
Thu Mar 19 19:11:49 GMT 2015,15.632754,466919424,8589934592,8123015168
Thu Mar 19 19:11:51 GMT 2015,12.577831,466706432,8589934592,8123228160
Thu Mar 19 19:11:53 GMT 2015,7.098383,465088512,8589934592,8124846080
Thu Mar 19 19:11:55 GMT 2015,6.4436197,465379328,8589934592,8124555264
Thu Mar 19 19:11:57 GMT 2015,11.955166,464470016,8589934592,8125464576
Thu Mar 19 19:11:59 GMT 2015,13.64764,464633856,8589934592,8125300736
Thu Mar 19 19:12:01 GMT 2015,18.057287,461320192,8589934592,8128614400
Thu Mar 19 19:12:03 GMT 2015,9.813666,453750784,8589934592,8136183808
Thu Mar 19 19:12:05 GMT 2015,12.779159,448442368,8589934592,8141492224
Thu Mar 19 19:12:07 GMT 2015,14.0722275,448962560,8589934592,8140972032
Thu Mar 19 19:12:10 GMT 2015,20.57001,447799296,8589934592,8142135296
Thu Mar 19 19:12:12 GMT 2015,8.198756,448294912,8589934592,8141639680
Thu Mar 19 19:12:14 GMT 2015,14.179105,447766528,8589934592,8142168064
Thu Mar 19 19:12:16 GMT 2015,10.224438,447336448,8589934592,8142598144
Thu Mar 19 19:12:18 GMT 2015,19.57869,447873024,8589934592,8142061568
Thu Mar 19 19:12:20 GMT 2015,8.706469,448753664,8589934592,8141180928
Thu Mar 19 19:12:22 GMT 2015,16.024845,446189568,8589934592,8143745024
Thu Mar 19 19:12:24 GMT 2015,15.960097,444608512,8589934592,8145326080
Thu Mar 19 19:12:26 GMT 2015,15.260548,444596224,8589934592,8145338368
Thu Mar 19 19:12:28 GMT 2015,9.452736,445046784,8589934592,8144887808
Thu Mar 19 19:12:30 GMT 2015,14.800996,445644800,8589934592,8144289792
Thu Mar 19 19:12:32 GMT 2015,17.493797,443486208,8589934592,8146448384
Thu Mar 19 19:12:34 GMT 2015,13.075966,445407232,8589934592,8144527360
Thu Mar 19 19:12:36 GMT 2015,10.049629,445042688,8589934592,8144891904
Thu Mar 19 19:12:38 GMT 2015,16.253101,446423040,8589934592,8143511552
Thu Mar 19 19:12:40 GMT 2015,14.339155,446431232,8589934592,8143503360
Thu Mar 19 19:12:42 GMT 2015,48.819878,519483392,8589934592,8070451200
Thu Mar 19 19:12:44 GMT 2015,63.35404,428486656,8589934592,8161447936
Thu Mar 19 19:12:46 GMT 2015,8.61423,426893312,8589934592,8163041280
Thu Mar 19 19:12:48 GMT 2015,8.364546,443068416,8589934592,8146866176
