Time,CPU Freq,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Mon Mar 02 19:14:26 GMT 2015,26000,0.0,1364013056,8589934592,7225921536
Mon Mar 02 19:14:28 GMT 2015,26000,16.209476,1363783680,8589934592,7226150912
Mon Mar 02 19:14:30 GMT 2015,26000,13.449562,1364004864,8589934592,7225929728
