Time,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Thu Mar 19 19:33:21 GMT 2015,0.0,504111104,8589934592,8085823488
Thu Mar 19 19:33:23 GMT 2015,41.863354,400007168,8589934592,8189927424
Thu Mar 19 19:33:25 GMT 2015,24.843943,411172864,8589934592,8178761728
Thu Mar 19 19:33:27 GMT 2015,5.3416133,411709440,8589934592,8178225152
Thu Mar 19 19:33:29 GMT 2015,10.447759,415395840,8589934592,8174538752
Thu Mar 19 19:33:31 GMT 2015,14.33869,416284672,8589934592,8173649920
Thu Mar 19 19:33:33 GMT 2015,6.849313,416649216,8589934592,8173285376
Thu Mar 19 19:33:35 GMT 2015,7.3201,417124352,8589934592,8172810240
Thu Mar 19 19:33:37 GMT 2015,6.57568,417660928,8589934592,8172273664
