Time,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Thu Mar 19 19:34:15 GMT 2015,0.0,516112384,8589934592,8073822208
Thu Mar 19 19:34:17 GMT 2015,48.322983,418222080,8589934592,8171712512
Thu Mar 19 19:34:19 GMT 2015,19.178082,412413952,8589934592,8177520640
Thu Mar 19 19:34:21 GMT 2015,9.66543,411656192,8589934592,8178278400
Thu Mar 19 19:34:23 GMT 2015,12.531018,417292288,8589934592,8172642304
Thu Mar 19 19:34:25 GMT 2015,13.642055,419586048,8589934592,8170348544
Thu Mar 19 19:34:27 GMT 2015,8.064514,420454400,8589934592,8169480192
