Time,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Thu Mar 19 19:14:21 GMT 2015,0.0,541536256,8589934592,8048398336
Thu Mar 19 19:14:23 GMT 2015,46.82441,461389824,8589934592,8128544768
Thu Mar 19 19:14:25 GMT 2015,10.70984,461766656,8589934592,8128167936
Thu Mar 19 19:14:27 GMT 2015,9.950251,459063296,8589934592,8130871296
Thu Mar 19 19:14:29 GMT 2015,14.285713,462376960,8589934592,8127557632
Thu Mar 19 19:14:31 GMT 2015,20.124222,393797632,8589934592,8196136960
Thu Mar 19 19:14:33 GMT 2015,7.4719787,450686976,8589934592,8139247616
Thu Mar 19 19:14:35 GMT 2015,13.540375,457330688,8589934592,8132603904
Thu Mar 19 19:14:37 GMT 2015,8.322984,457691136,8589934592,8132243456
Thu Mar 19 19:14:39 GMT 2015,8.198756,456982528,8589934592,8132952064
Thu Mar 19 19:14:41 GMT 2015,15.4613495,458313728,8589934592,8131620864
Thu Mar 19 19:14:43 GMT 2015,8.3126545,456687616,8589934592,8133246976
Thu Mar 19 19:14:45 GMT 2015,8.198756,457658368,8589934592,8132276224
Thu Mar 19 19:14:47 GMT 2015,7.4626865,457035776,8589934592,8132898816
Thu Mar 19 19:14:49 GMT 2015,3.3582091,457424896,8589934592,8132509696
Thu Mar 19 19:14:51 GMT 2015,3.9603949,457781248,8589934592,8132153344
Thu Mar 19 19:14:53 GMT 2015,3.6114573,458182656,8589934592,8131751936
Thu Mar 19 19:14:55 GMT 2015,4.472047,458567680,8589934592,8131366912
Thu Mar 19 19:14:57 GMT 2015,3.9801002,457658368,8589934592,8132276224
Thu Mar 19 19:14:59 GMT 2015,3.2298148,458010624,8589934592,8131923968
Thu Mar 19 19:15:01 GMT 2015,3.7313461,458575872,8589934592,8131358720
Thu Mar 19 19:15:03 GMT 2015,4.483187,458817536,8589934592,8131117056
Thu Mar 19 19:15:05 GMT 2015,4.0942907,459014144,8589934592,8130920448
Thu Mar 19 19:15:07 GMT 2015,6.9651723,458436608,8589934592,8131497984
Thu Mar 19 19:15:09 GMT 2015,8.9330015,457904128,8589934592,8132030464
Thu Mar 19 19:15:11 GMT 2015,9.7135725,458305536,8589934592,8131629056
Thu Mar 19 19:15:13 GMT 2015,9.553349,458952704,8589934592,8130981888
Thu Mar 19 19:15:15 GMT 2015,7.9503117,456257536,8589934592,8133677056
Thu Mar 19 19:15:17 GMT 2015,12.670809,456990720,8589934592,8132943872
