Time,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Thu Mar 19 19:27:53 GMT 2015,0.0,558780416,8589934592,8031154176
Thu Mar 19 19:27:55 GMT 2015,30.922693,463491072,8589934592,8126443520
Thu Mar 19 19:27:57 GMT 2015,5.086851,463835136,8589934592,8126099456
Thu Mar 19 19:27:59 GMT 2015,25.031132,398819328,8589934592,8191115264
Thu Mar 19 19:28:01 GMT 2015,8.841843,451653632,8589934592,8138280960
Thu Mar 19 19:28:03 GMT 2015,21.9603,452263936,8589934592,8137670656
Thu Mar 19 19:28:05 GMT 2015,5.845773,458498048,8589934592,8131436544
Thu Mar 19 19:28:07 GMT 2015,12.437809,457232384,8589934592,8132702208
Thu Mar 19 19:28:09 GMT 2015,6.82382,457449472,8589934592,8132485120
Thu Mar 19 19:28:11 GMT 2015,5.0995054,457699328,8589934592,8132235264
Thu Mar 19 19:28:13 GMT 2015,9.962643,457461760,8589934592,8132472832
Thu Mar 19 19:28:15 GMT 2015,23.514849,452915200,8589934592,8137019392
Thu Mar 19 19:28:17 GMT 2015,10.199004,432435200,8589934592,8157499392
Thu Mar 19 19:28:19 GMT 2015,21.366459,448401408,8589934592,8141533184
Thu Mar 19 19:28:21 GMT 2015,8.489388,448131072,8589934592,8141803520
Thu Mar 19 19:28:23 GMT 2015,8.333331,447717376,8589934592,8142217216
Thu Mar 19 19:28:25 GMT 2015,6.8407955,448716800,8589934592,8141217792
Thu Mar 19 19:28:27 GMT 2015,7.6827765,448921600,8589934592,8141012992
Thu Mar 19 19:28:29 GMT 2015,7.71144,448839680,8589934592,8141094912
Thu Mar 19 19:28:31 GMT 2015,7.9503117,448040960,8589934592,8141893632
Thu Mar 19 19:28:33 GMT 2015,8.841843,447086592,8589934592,8142848000
Thu Mar 19 19:28:35 GMT 2015,6.8153677,446558208,8589934592,8143376384
Thu Mar 19 19:28:37 GMT 2015,7.098383,451887104,8589934592,8138047488
Thu Mar 19 19:28:39 GMT 2015,6.4436197,451215360,8589934592,8138719232
