Time,CPU Freq,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Thu Mar 05 17:53:36 GMT 2015,26000,4.2236032,2622541824,8589934592,5967392768
Thu Mar 05 17:53:38 GMT 2015,26000,4.099381,2622050304,8589934592,5967884288
Thu Mar 05 17:53:40 GMT 2015,26000,3.9801002,2622509056,8589934592,5967425536
Thu Mar 05 17:53:42 GMT 2015,26000,3.850931,2621992960,8589934592,5967941632
Thu Mar 05 17:53:44 GMT 2015,26000,4.601991,2622570496,8589934592,5967364096
Thu Mar 05 17:53:46 GMT 2015,26000,4.218364,2621956096,8589934592,5967978496
Thu Mar 05 17:53:48 GMT 2015,26000,4.239404,2622386176,8589934592,5967548416
Thu Mar 05 17:53:51 GMT 2015,26000,4.0942907,2622791680,8589934592,5967142912
Thu Mar 05 17:53:53 GMT 2015,26000,3.8605213,2622214144,8589934592,5967720448
Thu Mar 05 17:53:55 GMT 2015,26000,4.099381,2621583360,8589934592,5968351232
Thu Mar 05 17:53:57 GMT 2015,26000,4.5792103,2622111744,8589934592,5967822848
Thu Mar 05 17:53:59 GMT 2015,26000,4.1147113,2620653568,8589934592,5969281024
Thu Mar 05 17:54:01 GMT 2015,26000,4.342431,2620055552,8589934592,5969879040
Thu Mar 05 17:54:03 GMT 2015,26000,3.6114573,2621739008,8589934592,5968195584
Thu Mar 05 17:54:05 GMT 2015,26000,4.342431,2620960768,8589934592,5968973824
Thu Mar 05 17:54:07 GMT 2015,26000,4.239404,2620461056,8589934592,5969473536
Thu Mar 05 17:54:09 GMT 2015,26000,4.347825,2620141568,8589934592,5969793024
Thu Mar 05 17:54:11 GMT 2015,26000,4.104477,2621689856,8589934592,5968244736
Thu Mar 05 17:54:13 GMT 2015,26000,4.089218,2621067264,8589934592,5968867328
Thu Mar 05 17:54:15 GMT 2015,26000,4.726368,2618515456,8589934592,5971419136
Thu Mar 05 17:54:17 GMT 2015,26000,3.8557231,2618961920,8589934592,5970972672
Thu Mar 05 17:54:19 GMT 2015,26000,4.342431,2618372096,8589934592,5971562496
Thu Mar 05 17:54:21 GMT 2015,26000,3.7359893,2618785792,8589934592,5971148800
Thu Mar 05 17:54:23 GMT 2015,26000,4.331684,2619260928,8589934592,5970673664
Thu Mar 05 17:54:25 GMT 2015,26000,4.1147113,2618851328,8589934592,5971083264
Thu Mar 05 17:54:27 GMT 2015,26000,4.2131367,2619273216,8589934592,5970661376
Thu Mar 05 17:54:29 GMT 2015,26000,4.1095915,2619719680,8589934592,5970214912
Thu Mar 05 17:54:31 GMT 2015,26000,3.6024868,2620116992,8589934592,5969817600
Thu Mar 05 17:54:33 GMT 2015,26000,4.0942907,2618523648,8589934592,5971410944
Thu Mar 05 17:54:35 GMT 2015,26000,3.9900243,2619207680,8589934592,5970726912
Thu Mar 05 17:54:37 GMT 2015,26000,4.3370485,2617851904,8589934592,5972082688
Thu Mar 05 17:54:39 GMT 2015,26000,4.0942907,2619105280,8589934592,5970829312
Thu Mar 05 17:54:41 GMT 2015,26000,3.6204755,2618683392,8589934592,5971251200
Thu Mar 05 17:54:43 GMT 2015,26000,4.099381,2619121664,8589934592,5970812928
Thu Mar 05 17:54:45 GMT 2015,26000,4.838711,2619523072,8589934592,5970411520
