Time,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Thu Mar 19 19:34:42 GMT 2015,0.0,407584768,8589934592,8182349824
Thu Mar 19 19:34:44 GMT 2015,33.707863,423313408,8589934592,8166621184
Thu Mar 19 19:34:46 GMT 2015,10.211706,426057728,8589934592,8163876864
Thu Mar 19 19:34:48 GMT 2015,21.0199,413822976,8589934592,8176111616
Thu Mar 19 19:34:50 GMT 2015,3.46964,414060544,8589934592,8175874048
Thu Mar 19 19:34:52 GMT 2015,3.3623934,420491264,8589934592,8169443328
Thu Mar 19 19:34:54 GMT 2015,12.903225,419921920,8589934592,8170012672
